// Renewal Matk Item Database
// ItemID,Matk

1231,105
1433,40
1472,200
1473,200
1560,120
1561,25
1563,120
1564,70
1565,100
1567,25
1572,160
1573,140
1574,125
1575,125
1576,155
1577,155
1580,70
1601,30
1602,30
1603,30
1604,45
1605,45
1606,45
1607,70
1608,70
1609,70
1610,95
1611,95
1612,95
1613,100
1614,105
1615,110
1616,115
1617,120
1618,120
1619,120
1620,120
1621,120
1622,120
1623,120
1624,170
1625,105
1626,145
1627,120
1628,145
1629,125
1630,125
1631,140
1632,125
1633,125
1634,125
1635,125
1636,160
1637,170
1638,125
1639,32
1640,135
1641,135
1643,15
1644,145
1645,170
1646,180
1647,175
1648,170
1649,180
1654,170
1985,130
2000,280
2001,210
2002,210
2003,280
2004,240
2005,220
13010,50
13011,50
13023,98
13036,90
13037,90
13062,120
13307,90
13411,74
13414,95
13417,80
13418,80
16010,100
18103,100

